"";"ResponseId";"AGE";"GENDER";"EDUCATION";"PARENT";"POLITCS_PARTY";"POLITICS_LEFTRIGHT";"MFQ1_HARM_EMOTIONALLY_1";"MFQ1_FAIRNESS_TREATED_2";"MFQ1_INGROUP_LOVECOUNTRY_3";"MFQ1_AUTHORITY_RESPECT_4";"MFQ1_PURITY_DECENCY_5";"MFQ1_LIBERTYECO_PROPERTY_6";"MFQ1_HARM_WEAK_8";"MFQ1_FAIRNESS_UNFAIRLY_9";"MFQ1_INGROUP_BETRAY_10";"MFQ1_LIBERTYLIFE_FREE_11";"MFQ1_AUTHORITY_TRADITIONS_12";"MFQ1_PURITY_DISGUSTING_13";"MFQ1_HARM_CRUEL_14";"MFQ1_FAIRNESS_RIGHTS_15";"MFQ1_INGROUP_LOYALTY_16";"MFQ1_AUTHORITY_CHAOS_17";"MFQ1_PURITY_GOD_18";"MFQ2_HARM_COMPASSION_1";"MFQ2_FAIRNESS_FAIRLY_2";"MFQ2_LIBERTYECO_SOCIETY_3";"MFQ2_INGROUP_HISTORY_4";"MFQ2_AUTHORITY_KIDRESPECT_5";"MFQ2_PURITY_HARMLESSDG_6";"MFQ2_LIBERTYECO_INFER_8";"MFQ2_HARM_ANIMAL_9";"MFQ2_FAIRNESS_JUSTICE_10";"MFQ2_INGROUP_FAMILY_11";"MFQ2_LIBERTYECO_WEALTH_12";"MFQ2_PURITY_UNNATURAL_14";"MFQ2_HARM_KILL_16";"MFQ2_FAIRNESS_RICH_17";"MFQ2_LIBERTYECO_PROPERTY_18";"MFQ2_INGROUP_TEAM_19";"MFQ2_LIBERTYLIFE_TRADITION_20";"MFQ2_AUTHORITY_SOLDIER_21";"MFQ2_PURITY_CHASTITY_22";"MFQ2_LIBERTYLIFE_CHOICE_23";"VCI_SAFETY_1";"VCI_PARENTSRIGHT_2";"VCI_OVERWHELM_3";"VCI_PROTECTOTHERS_4";"VCI_ALLERGIES_5";"VCI_LIVINGSTANDARDS_6";"VCI_DECISION_7";"VCI_PHARMA_8";"VCI_COMPULSORY_10";"VCI_CAUSEDISEASE_11";"VCI_CONCEAL_12";"VCI_ALTERNATIVE_13";"VCI_TOXINS_14";"VCI_PROTECTALL_15";"VCI_NATURALLY_16";"VCI_EXEMPT_17";"VCI_INEFFECTIVE_18";"BVIS_HEPATITISB_1";"BVIS_HPV_2";"BVIS_MEASELS_3";"BVIS_MENINGOCOCCAL_4";"BVIS_PERTUSSIS_5";"BVIS_MUMPS_6";"BVIS_POLIO_7";"BVIS_ROTAVIRUS_8";"BVIS_RUBELLA_9";"BVIS_TETANUS_10";"BVIS_CHICKENPOX_11";"INFECTED";"VACCINATED";"COVCI_ANYVACCINE";"COVCI_ASAP";"COVCI_CHOOSEVACCINE";"COVCI_DECIDE";"COVCI_DISADVANTAGE";"COVCI_DUTY";"COVCI_IMPORTANCE";"COVCI_INFECTION";"COVCI_INFORMED";"COVCI_JOBLOSS";"COVCI_PROTECTGENERALLY";"COVCI_PROTECTME";"COVCI_PROTECTOTHERS";"COVCI_RECOMMENDATION";"COVCI_SIDEEFFECTS";"COVCI_THOUGHTFUL";"COVCI_TRUST";"COVCI_UNNATURAL";"COVCI_WAIT";"DEC_GROUP";"ResponseId_f";"PARENT_f";"VACCINATED_f";"POLITCS_PARTY_f";"AGE_f";"GENDER_f";"EDUCATION_f";"INFECTED_f";"background_vaccinated";"background_female";"background_diverse";"background_abitur";"background_mittlereReife";"background_hauptschule";"background_noEdu";"background_parent";"background_age12.15";"background_age16.17";"background_age18.29";"background_age30.39";"background_age40.49";"background_age50.59";"background_age60plus";"background_CDU.CSU";"background_SPD";"background_AfD";"background_Greens";"background_FDP";"background_TheLeft";"background_other.party";"background_covid.infection";"background_politicsLeftRight";"irvTotal";"Zh";"excluded"
"11";"R_3nu5GOFfXIGYG9Q";4;2;1;2;7;4;5;4;3;4;4;5;5;5;4;5;3;4;5;5;4;4;3;2;4;2;2;4;4;4;5;4;5;2;3;5;2;4;2;4;4;1;2;2;5;3;2;3;2;2;3;2;5;4;5;5;4;5;2;4;5;4;5;5;5;5;5;4;5;5;2;2;1;0;4;4;0;4;1;4;4;3;4;4;4;4;4;2;4;0;4;1;"supporter";"R_3nu5GOFfXIGYG9Q";"no";"yes";"Other.party";"18-29";"female";"Abitur";"no";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;1,34689034343785;-1,36475694056101;FALSE
"12";"R_1dyru4ZpyLQwAlV";4;2;2;2;4;5;4;4;0;5;5;4;5;5;4;4;0;5;4;5;5;5;0;5;5;3;2;4;5;4;5;5;4;3;3;2;4;3;3;3;3;1;3;2;4;2;5;2;3;2;4;2;5;2;4;4;5;5;4;3;4;4;5;4;5;5;5;2;5;5;1;2;1;1;4;3;0;3;3;4;4;4;4;4;4;4;3;4;4;3;3;4;"supporter";"R_1dyru4ZpyLQwAlV";"no";"yes";"Greens";"18-29";"female";"Mittlere Reife";"no";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;1,34689034343785;-0,567436054830854;FALSE
"13";"R_22VVIlILaztudDy";4;1;1;2;4;3;5;4;0;4;3;3;4;5;5;3;1;4;5;5;5;3;3;4;3;2;1;3;3;2;3;3;4;3;4;4;5;4;4;5;0;0;4;5;3;5;5;3;3;4;5;2;5;5;5;5;5;4;2;5;3;5;5;4;5;5;5;4;5;5;5;1;1;1;1;2;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;"supporter";"R_22VVIlILaztudDy";"no";"yes";"Greens";"18-29";"male";"Abitur";"yes";1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;3;1,29852734452784;-0,341197007846448;FALSE
"14";"R_3QPezkWY7JHo4k5";4;2;1;2;7;5;3;5;2;4;1;2;4;3;4;4;4;4;3;4;3;3;1;4;5;4;2;4;1;2;3;5;3;2;2;5;2;4;3;4;4;0;3;3;2;3;4;2;3;2;2;3;3;2;4;3;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;2;2;3;1;4;0;2;3;1;3;0;4;3;1;3;2;1;3;2;3;0;"fence-sitter";"R_3QPezkWY7JHo4k5";"no";"no";"Other.party";"18-29";"female";"Abitur";"no";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;5;1,23553013329083;-0,50544788002645;FALSE
"15";"R_2akHa4KDGTwbOC8";4;2;1;2;4;3;5;3;1;1;2;3;3;2;3;3;0;2;3;4;2;3;0;3;5;2;0;2;2;1;4;4;3;3;3;5;3;2;2;5;3;1;3;4;1;4;4;3;5;2;3;1;4;4;5;3;5;4;1;4;5;5;5;5;4;4;5;3;5;4;3;2;1;1;4;1;0;1;3;4;3;1;4;4;4;4;2;3;4;4;4;3;"supporter";"R_2akHa4KDGTwbOC8";"no";"yes";"Greens";"18-29";"female";"Abitur";"no";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;1,40948959890877;-0,278084840599291;FALSE
"16";"R_tLCrAkkayp5BT4l";4;2;1;2;4;4;4;3;0;1;2;4;4;4;4;4;0;0;4;4;3;3;0;2;4;1;1;3;2;3;3;3;2;2;1;5;4;1;1;5;3;0;4;3;2;4;5;3;4;2;2;4;5;2;5;5;5;3;2;5;3;4;5;5;5;5;5;2;5;5;0;2;2;1;4;4;1;1;3;4;4;3;4;4;4;4;2;3;3;2;4;3;"supporter";"R_tLCrAkkayp5BT4l";"no";"no";"Greens";"18-29";"female";"Abitur";"no";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;1,49980874665229;0,493587060872234;FALSE
"17";"R_1mwsRKABalQsy9k";7;2;1;2;4;6;5;5;2;5;4;5;5;5;5;3;3;5;5;5;4;4;4;4;4;3;3;4;4;1;3;5;2;3;1;5;1;3;3;4;4;0;4;5;2;4;5;2;3;2;5;2;5;5;5;3;5;2;2;5;1;1;5;1;5;5;5;5;5;5;1;1;2;0;4;4;0;3;4;4;1;3;4;4;4;4;3;3;3;3;3;3;"supporter";"R_1mwsRKABalQsy9k";"no";"no";"Greens";"50-59";"female";"Abitur";"yes";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;6;1,45199528376419;0,11764703549542;FALSE
"18";"R_2ASFMBbOvnZMnaC";4;2;1;2;4;5;4;3;1;3;1;4;4;5;4;5;1;2;4;4;3;3;0;3;5;0;1;3;2;4;4;4;0;3;1;2;2;4;2;5;2;1;5;3;1;3;5;3;3;2;5;2;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;4;5;5;5;2;1;0;1;4;0;1;1;4;4;3;4;4;4;4;3;3;4;3;4;1;"supporter";"R_2ASFMBbOvnZMnaC";"no";"yes";"Greens";"18-29";"female";"Abitur";"no";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;1,59724914126667;0,867665728549221;FALSE
"19";"R_5mRJ3fSMMvvlwzf";4;2;1;2;4;5;4;4;2;2;3;4;5;4;4;4;2;1;4;3;3;3;1;4;3;4;1;3;5;2;3;3;3;0;0;5;3;2;5;3;2;1;5;3;3;5;3;5;4;3;2;4;4;5;5;2;4;2;3;5;4;4;5;4;3;3;3;2;5;5;5;2;1;1;3;4;0;0;3;4;4;1;4;4;3;4;3;2;3;3;4;1;"supporter";"R_5mRJ3fSMMvvlwzf";"no";"yes";"Greens";"18-29";"female";"Abitur";"no";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;1,35178002535464;-1,65985024442358;FALSE
"20";"R_DIDq52pBYM3ZPZn";5;2;2;1;4;3;5;5;0;3;4;2;5;4;4;4;3;5;5;4;3;3;0;5;5;2;1;4;5;2;5;3;1;4;5;4;1;3;1;4;4;1;4;5;3;5;5;2;5;2;4;2;5;5;5;5;5;5;3;5;5;4;5;5;5;5;5;4;5;5;4;1;2;1;4;4;0;3;4;4;3;3;4;4;4;4;3;3;4;3;4;3;"supporter";"R_DIDq52pBYM3ZPZn";"yes";"no";"Greens";"30-39";"female";"Mittlere Reife";"yes";0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;3;1,39130980442443;1,23578171066531;FALSE
